"Site Time","pos1","pos2","pos3"
01-01-2024 00:00:00,60.37,60.28,60.06
01-01-2024 00:15:00,60.37,60.28,60.06
01-01-2024 00:30:00,60.37,60.28,60.06
01-01-2024 00:45:00,60.37,60.28,60.06
01-01-2024 01:00:00,60.37,60.28,60.06
01-01-2024 01:15:00,60.37,60.28,60.06
01-01-2024 01:30:00,60.369,60.28,60.06
01-01-2024 01:45:00,60.342,60.28,60.06
01-01-2024 02:00:00,60.37,60.28,60.06
01-01-2024 02:15:00,60.37,60.28,60.06
01-01-2024 02:30:00,60.37,60.28,60.06
01-01-2024 02:45:00,60.37,60.28,60.06
01-01-2024 03:00:00,60.37,60.28,60.06
01-01-2024 03:15:00,60.34,60.28,60.06
01-01-2024 03:30:00,60.368,60.28,60.06
01-01-2024 03:45:00,60.37,60.28,60.06
01-01-2024 04:00:00,60.37,60.28,60.06
01-01-2024 04:15:00,60.37,60.28,60.06
01-01-2024 04:30:00,60.34,60.28,60.06
01-01-2024 04:45:00,60.37,60.28,60.06
01-01-2024 05:00:00,60.342,60.28,60.06
01-01-2024 05:15:00,60.367,60.28,60.06
01-01-2024 05:30:00,60.37,60.28,60.06
01-01-2024 05:45:00,60.313,60.28,60.06
01-01-2024 06:00:00,58.356,58.271,58.058
01-01-2024 06:15:00,58.329,58.271,58.058
01-01-2024 06:30:00,60.309,60.28,60.06
01-01-2024 06:45:00,60.309,60.28,60.06
01-01-2024 07:00:00,60.282,60.28,60.06
01-01-2024 07:15:00,45.27,45.495,45.266
01-01-2024 07:30:00,-0.108,0.245,0.039
01-01-2024 07:45:00,-3.397,-2.975,-3.195
01-01-2024 08:00:00,-13.041,-13.16,-12.502
01-01-2024 08:15:00,-19.299,-19.252,-18.667
01-01-2024 08:30:00,-26.85,-26.788,-26.755
01-01-2024 08:45:00,-36.968,-36.961,-36.982
01-01-2024 09:00:00,-55.581,-55.441,-55.542
01-01-2024 09:15:00,-60.09,-60.199,-60.09
01-01-2024 09:30:00,-60.061,-60.147,-60.075
01-01-2024 09:45:00,-56.682,-56.789,-56.771
01-01-2024 10:00:00,-51.505,-51.747,-51.555
01-01-2024 10:15:00,-46.125,-46.209,-46.192
01-01-2024 10:30:00,-40.292,-40.468,-40.165
01-01-2024 10:45:00,-33.763,-33.274,-33.606
01-01-2024 11:00:00,-26.549,-26.644,-26.424
01-01-2024 11:15:00,-18.987,-19.116,-19.034
01-01-2024 11:30:00,-10.768,-10.824,-10.957
01-01-2024 11:45:00,-2.86,-2.858,-2.591
01-01-2024 12:00:00,5.559,5.429,5.532
01-01-2024 12:15:00,13.894,13.968,13.693
01-01-2024 12:30:00,21.453,21.355,21.699
01-01-2024 12:45:00,29.12,29.152,28.866
01-01-2024 13:00:00,36.058,36.019,35.792
01-01-2024 13:15:00,42.042,41.97,42.137
01-01-2024 13:30:00,47.566,47.751,47.693
01-01-2024 13:45:00,53.317,53.065,52.873
01-01-2024 14:00:00,58.416,57.593,57.782
01-01-2024 14:15:00,59.95,59.787,59.75
01-01-2024 14:30:00,59.984,59.784,59.75
01-01-2024 14:45:00,45.891,45.967,46.18
01-01-2024 15:00:00,32.373,32.444,32.634
01-01-2024 15:15:00,23.917,23.713,24.38
01-01-2024 15:30:00,16.808,16.964,16.801
01-01-2024 15:45:00,11.151,10.99,11.208
01-01-2024 16:00:00,-0.083,-0.236,-0.119
01-01-2024 16:15:00,5.84,5.331,5.733
01-01-2024 16:30:00,58.455,58.294,58.354
01-01-2024 16:45:00,60.37,60.28,60.28
01-01-2024 17:00:00,60.37,60.28,60.28
01-01-2024 17:15:00,60.37,60.28,60.28
01-01-2024 17:30:00,60.37,60.28,60.28
01-01-2024 17:45:00,60.37,60.28,60.28
01-01-2024 18:00:00,60.37,60.28,60.28
01-01-2024 18:15:00,60.37,60.28,60.28
01-01-2024 18:30:00,60.37,60.28,60.28
01-01-2024 18:45:00,60.37,60.28,60.28
01-01-2024 19:00:00,60.37,60.28,60.28
01-01-2024 19:15:00,60.37,60.28,60.28
01-01-2024 19:30:00,60.37,60.28,60.28
01-01-2024 19:45:00,60.37,60.25,60.28
01-01-2024 20:00:00,60.37,60.272,60.28
01-01-2024 20:15:00,60.37,60.28,60.28
01-01-2024 20:30:00,60.37,60.28,60.28
01-01-2024 20:45:00,60.37,60.28,60.28
01-01-2024 21:00:00,60.37,60.28,60.28
01-01-2024 21:15:00,60.37,60.28,60.28
01-01-2024 21:30:00,60.37,60.28,60.28
01-01-2024 21:45:00,60.25,60.28,60.28
01-01-2024 22:00:00,60.17,60.28,60.28
01-01-2024 22:15:00,60.17,60.28,60.28
01-01-2024 22:30:00,60.17,60.28,60.28
01-01-2024 22:45:00,60.17,60.28,60.28
01-01-2024 23:00:00,58.164,58.271,58.271
01-01-2024 23:15:00,58.164,58.271,58.271
01-01-2024 23:30:00,60.17,60.28,60.28
01-01-2024 23:45:00,60.17,60.28,60.28
01-02-2024 00:00:00,60.17,60.28,60.28
01-02-2024 00:15:00,60.17,60.28,60.28
01-02-2024 00:30:00,60.17,60.28,60.245
01-02-2024 00:45:00,60.17,60.28,60.205
01-02-2024 01:00:00,60.142,60.252,60.252
01-02-2024 01:15:00,60.096,60.243,60.17
01-02-2024 01:30:00,60.098,60.208,60.17
01-02-2024 01:45:00,60.06,60.17,60.17
01-02-2024 02:00:00,60.06,60.236,60.17
01-02-2024 02:15:00,60.06,60.178,60.17
01-02-2024 02:30:00,60.086,60.235,60.17
01-02-2024 02:45:00,60.07,60.255,60.17
01-02-2024 03:00:00,60.06,60.246,60.17
01-02-2024 03:15:00,60.06,60.247,60.17
01-02-2024 03:30:00,60.06,60.232,60.17
01-02-2024 03:45:00,60.06,60.252,60.17
01-02-2024 04:00:00,60.06,60.235,60.17
01-02-2024 04:15:00,60.06,60.28,60.17
01-02-2024 04:30:00,60.06,60.244,60.17
01-02-2024 04:45:00,60.06,60.209,60.17
01-02-2024 05:00:00,60.06,60.216,60.17
01-02-2024 05:15:00,60.06,60.245,60.17
01-02-2024 05:30:00,60.06,60.209,60.17
01-02-2024 05:45:00,60.06,60.17,60.17
01-02-2024 06:00:00,60.06,60.232,60.17
01-02-2024 06:15:00,60.06,60.241,60.17
01-02-2024 06:30:00,60.06,60.245,60.17
01-02-2024 06:45:00,60.06,60.255,60.17
01-02-2024 07:00:00,60.06,60.17,60.17
01-02-2024 07:15:00,60.06,60.194,60.17
01-02-2024 07:30:00,60.06,60.182,60.17
01-02-2024 07:45:00,60.06,60.271,60.17
01-02-2024 08:00:00,60.16,60.28,60.231
01-02-2024 08:15:00,60.271,60.28,60.28
01-02-2024 08:30:00,60.28,60.28,60.28
01-02-2024 08:45:00,60.28,60.28,60.28
01-02-2024 09:00:00,60.28,60.28,60.28
01-02-2024 09:15:00,60.28,60.28,60.28
01-02-2024 09:30:00,60.28,60.28,60.28
01-02-2024 09:45:00,60.28,60.28,60.28
01-02-2024 10:00:00,60.28,60.28,60.28
01-02-2024 10:15:00,60.28,60.28,60.28
01-02-2024 10:30:00,60.28,60.28,60.28
01-02-2024 10:45:00,60.28,60.28,60.28
01-02-2024 11:00:00,60.28,60.28,60.28
01-02-2024 11:15:00,60.28,60.28,60.28
01-02-2024 11:30:00,60.28,60.28,60.28
01-02-2024 11:45:00,60.28,60.28,60.28
01-02-2024 12:00:00,60.28,60.28,60.28
01-02-2024 12:15:00,60.28,60.28,60.28
01-02-2024 12:30:00,60.28,60.28,60.28
01-02-2024 12:45:00,60.28,60.28,60.28
01-02-2024 13:00:00,60.28,60.28,60.28
01-02-2024 13:15:00,60.28,60.28,60.28
01-02-2024 13:30:00,60.28,60.28,60.28
01-02-2024 13:45:00,60.28,60.28,60.3
01-02-2024 14:00:00,60.28,60.28,60.322
01-02-2024 14:15:00,60.302,60.28,60.28
01-02-2024 14:30:00,60.29,60.28,60.28
01-02-2024 14:45:00,60.28,60.28,60.28
01-02-2024 15:00:00,57.706,59.765,59.812
01-02-2024 15:15:00,26.539,28.781,28.733
01-02-2024 15:30:00,17.212,17.022,17.074
01-02-2024 15:45:00,11.287,11.541,11.541
01-02-2024 16:00:00,0.811,0.82,0.73
01-02-2024 16:15:00,4.118,3.954,4.087
