"Site Time","Nextracker 01: Tracker Position 1 (TrackerPos1) Degrees","Nextracker 01: Tracker Position 2 (TrackerPos2) Degrees","Nextracker 01: Tracker Position 3 (TrackerPos3) Degrees"
01-01-2024 00:00:00,57.21,57.32,57.32
01-01-2024 00:15:00,57.21,57.323,57.271
01-01-2024 00:30:00,57.21,57.362,57.32
01-01-2024 00:45:00,57.21,57.32,57.275
01-01-2024 01:00:00,57.21,57.32,57.267
01-01-2024 01:15:00,57.207,57.32,57.302
01-01-2024 01:30:00,57.164,57.32,57.31
01-01-2024 01:45:00,57.157,57.32,57.296
01-01-2024 02:00:00,57.21,57.32,57.32
01-01-2024 02:15:00,57.21,57.32,57.302
01-01-2024 02:30:00,57.21,57.32,57.31
01-01-2024 02:45:00,57.21,57.32,57.32
01-01-2024 03:00:00,57.21,57.32,57.32
01-01-2024 03:15:00,57.21,57.32,57.32
01-01-2024 03:30:00,57.21,57.32,57.32
01-01-2024 03:45:00,57.21,57.32,57.292
01-01-2024 04:00:00,57.21,57.32,57.253
01-01-2024 04:15:00,57.21,57.32,57.32
01-01-2024 04:30:00,57.21,57.32,57.32
01-01-2024 04:45:00,57.21,57.32,57.32
01-01-2024 05:00:00,57.21,57.32,57.32
01-01-2024 05:15:00,57.21,57.32,57.32
01-01-2024 05:30:00,57.21,57.32,57.32
01-01-2024 05:45:00,57.21,57.32,57.32
01-01-2024 06:00:00,57.21,57.32,57.32
01-01-2024 06:15:00,57.21,57.32,57.296
01-01-2024 06:30:00,57.21,57.32,57.32
01-01-2024 06:45:00,57.21,57.32,57.302
01-01-2024 07:00:00,57.21,57.32,57.277
01-01-2024 07:15:00,57.183,57.32,57.262
01-01-2024 07:30:00,57.21,57.32,57.278
01-01-2024 07:45:00,20.772,20.848,20.78
01-01-2024 08:00:00,-0.428,-0.36,-0.394
01-01-2024 08:15:00,-11.551,-11.521,-11.388
01-01-2024 08:30:00,-25.853,-25.842,-25.267
01-01-2024 08:45:00,-38.505,-37.879,-38.586
01-01-2024 09:00:00,-56.364,-55.775,-56.282
01-01-2024 09:15:00,-60.62,-60.31,-60.219
01-01-2024 09:30:00,-60.62,-60.31,-60.3
01-01-2024 09:45:00,-60.658,-60.31,-60.268
01-01-2024 10:00:00,-59.771,-59.324,-59.362
01-01-2024 10:15:00,-55.098,-55.291,-55.493
01-01-2024 10:30:00,-49.779,-49.555,-50.17
01-01-2024 10:45:00,-44.096,-43.876,-44.323
01-01-2024 11:00:00,-37.748,-37.731,-37.65
01-01-2024 11:15:00,-30.26,-30.141,-30.704
01-01-2024 11:30:00,-22.732,-22.648,-22.765
01-01-2024 11:45:00,-14.895,-14.878,-14.778
01-01-2024 12:00:00,-5.745,-5.62,-6.203
01-01-2024 12:15:00,2.791,2.879,2.617
01-01-2024 12:30:00,11.15,11.716,11.378
01-01-2024 12:45:00,19.922,20.272,19.855
01-01-2024 13:00:00,27.745,27.848,27.633
01-01-2024 13:15:00,34.912,35.009,34.902
01-01-2024 13:30:00,41.965,41.965,41.851
01-01-2024 13:45:00,47.351,47.626,47.59
01-01-2024 14:00:00,53.288,52.913,52.886
01-01-2024 14:15:00,57.583,57.985,57.81
01-01-2024 14:30:00,59.33,59.75,59.56
01-01-2024 14:45:00,59.38,59.698,59.56
01-01-2024 15:00:00,59.33,59.709,59.56
01-01-2024 15:15:00,58.568,58.885,58.715
01-01-2024 15:30:00,43.208,43.116,43.175
01-01-2024 15:45:00,28.744,28.613,28.76
01-01-2024 16:00:00,18.805,18.495,18.538
01-01-2024 16:15:00,1.764,1.61,1.933
01-01-2024 16:30:00,7.791,5.816,4.438
01-01-2024 16:45:00,52.762,51.848,51.019
01-01-2024 17:00:00,57.21,57.21,57.21
01-01-2024 17:15:00,57.21,57.21,57.21
01-01-2024 17:30:00,57.21,57.21,57.21
01-01-2024 17:45:00,57.21,57.21,57.21
01-01-2024 18:00:00,57.21,57.21,57.21
01-01-2024 18:15:00,57.21,57.21,57.21
01-01-2024 18:30:00,57.21,57.183,57.21
01-01-2024 18:45:00,57.21,57.21,57.21
01-01-2024 19:00:00,57.176,57.21,57.21
01-01-2024 19:15:00,57.192,57.21,57.21
01-01-2024 19:30:00,57.21,57.175,57.21
01-01-2024 19:45:00,57.21,57.192,57.21
01-01-2024 20:00:00,57.21,57.21,57.21
01-01-2024 20:15:00,57.21,57.186,57.21
01-01-2024 20:30:00,57.21,57.21,57.21
01-01-2024 20:45:00,57.21,57.21,57.21
01-01-2024 21:00:00,57.21,57.21,57.21
01-01-2024 21:15:00,57.21,57.21,57.21
01-01-2024 21:30:00,57.21,57.21,57.21
01-01-2024 21:45:00,57.21,57.21,57.21
01-01-2024 22:00:00,57.21,57.21,57.21
01-01-2024 22:15:00,57.21,57.21,57.21
01-01-2024 22:30:00,57.21,57.21,57.21
01-01-2024 22:45:00,57.21,57.207,57.21
01-01-2024 23:00:00,57.21,57.164,57.21
01-01-2024 23:15:00,57.21,57.21,57.21
01-01-2024 23:30:00,57.21,57.21,57.21
01-01-2024 23:45:00,57.21,57.21,57.21
01-02-2024 00:00:00,57.21,57.175,57.21
01-02-2024 00:15:00,57.21,57.192,57.21
01-02-2024 00:30:00,57.21,57.21,57.21
01-02-2024 00:45:00,57.21,57.21,57.208
01-02-2024 01:00:00,57.21,57.21,57.064
01-02-2024 01:15:00,57.21,57.21,57.075
01-02-2024 01:30:00,57.21,57.21,57.06
01-02-2024 01:45:00,57.21,57.21,57.09
01-02-2024 02:00:00,57.21,57.21,57.06
01-02-2024 02:15:00,57.21,57.21,57.089
01-02-2024 02:30:00,57.21,57.21,57.09
01-02-2024 02:45:00,57.21,57.21,57.054
01-02-2024 03:00:00,57.21,57.21,57.09
01-02-2024 03:15:00,57.21,57.21,57.09
01-02-2024 03:30:00,57.21,57.21,57.09
01-02-2024 03:45:00,57.21,57.21,57.09
01-02-2024 04:00:00,57.21,57.21,57.09
01-02-2024 04:15:00,57.21,57.21,57.09
01-02-2024 04:30:00,57.21,57.21,57.09
01-02-2024 04:45:00,57.21,57.21,57.09
01-02-2024 05:00:00,57.21,57.21,57.09
01-02-2024 05:15:00,57.21,57.21,57.09
01-02-2024 05:30:00,57.241,57.21,57.09
01-02-2024 05:45:00,57.227,57.21,57.09
01-02-2024 06:00:00,57.21,57.21,57.09
