"Site Time","pos1","pos2","pos3","pos4"
01-01-2024 00:00:00,-51.92,-51.88,-51.84,-51.95
01-01-2024 00:15:00,-51.92,-51.88,-51.84,-51.95
01-01-2024 00:30:00,-51.92,-51.88,-51.84,-51.95
01-01-2024 00:45:00,-51.92,-51.88,-51.84,-51.95
01-01-2024 01:00:00,-51.92,-51.88,-51.84,-51.95
01-01-2024 01:15:00,-51.92,-51.88,-51.84,-51.95
01-01-2024 01:30:00,-51.92,-51.88,-51.84,-51.95
01-01-2024 01:45:00,-51.92,-51.88,-51.84,-51.95
01-01-2024 02:00:00,-51.92,-51.88,-51.84,-51.95
01-01-2024 02:15:00,-51.92,-51.88,-51.84,-51.95
01-01-2024 02:30:00,-51.92,-51.88,-51.84,-51.95
01-01-2024 02:45:00,-51.92,-51.88,-51.84,-51.95
01-01-2024 03:00:00,-51.92,-51.88,-51.84,-51.95
01-01-2024 03:15:00,-51.92,-51.88,-51.84,-51.95
01-01-2024 03:30:00,-51.92,-51.88,-51.84,-51.95
01-01-2024 03:45:00,-51.92,-51.88,-51.84,-51.95
01-01-2024 04:00:00,-51.92,-51.88,-51.84,-51.95
01-01-2024 04:15:00,-51.92,-51.88,-51.84,-51.95
01-01-2024 04:30:00,-51.92,-51.88,-51.84,-51.95
01-01-2024 04:45:00,-51.92,-51.88,-51.84,-51.95
01-01-2024 05:00:00,-51.92,-51.88,-51.84,-51.95
01-01-2024 05:15:00,-51.92,-51.88,-51.84,-51.95
01-01-2024 05:30:00,-51.92,-51.88,-51.84,-51.95
01-01-2024 05:45:00,-51.92,-51.88,-51.84,-51.95
01-01-2024 06:00:00,-51.92,-51.88,-51.84,-51.95
01-01-2024 06:15:00,-51.92,-51.88,-51.84,-51.95
01-01-2024 06:30:00,-51.92,-51.88,-51.84,-51.95
01-01-2024 06:45:00,-51.92,-51.88,-51.84,-51.95
01-01-2024 07:00:00,-51.92,-51.88,-51.84,-51.95
01-01-2024 07:15:00,-44.94,-44.72,-44.68,-44.79
01-01-2024 07:30:00,-1.95,-1.78,-1.24,-0.85
01-01-2024 07:45:00,-3.61,-3.6,-3.59,-3.61
01-01-2024 08:00:00,-6.8,-6.8,-6.79,-6.81
01-01-2024 08:15:00,-10.14,-10.13,-10.13,-10.14
01-01-2024 08:30:00,-13.37,-12.83,-12.3,-11.86
01-01-2024 08:45:00,-16.78,-16.79,-16.79,-16.79
01-01-2024 09:00:00,-21.96,-21.41,-20.86,-20.41
01-01-2024 09:15:00,-27.57,-27.58,-27.58,-27.58
01-01-2024 09:30:00,-39.33,-38.78,-38.23,-37.7
01-01-2024 09:45:00,-51.88,-51.85,-51.83,-51.91
01-01-2024 10:00:00,-48.52,-48.53,-48.52,-48.5
01-01-2024 10:15:00,-45.12,-45.48,-45.13,-45.1
01-01-2024 10:30:00,-38.57,-38.93,-38.57,-38.54
01-01-2024 10:45:00,-32.25,-32.65,-32.24,-32.22
01-01-2024 11:00:00,-25.49,-25.94,-25.49,-25.47
01-01-2024 11:15:00,-19.25,-19.71,-19.25,-19.22
