Timestamp (UTC),Wind Speed (m/s),Wind Gust Speed (m/s),Wind Dir (Deg),Snowfall Rate (mm/hr),Weather Code,trigger,stow_angle,stow_setpoint,tracker_theta,td,time_delta
2024-01-01 05:00:00,1.6,4.8,330,0.0,804,Ideal Tracking,,,,2024-01-01 05:00:00,
2024-01-01 05:15:00,1.7,4.9,330,0.0,804,Ideal Tracking,,,,2024-01-01 05:15:00,0 days 00:15:00
2024-01-01 05:30:00,1.8,5.0,331,0.0,804,Ideal Tracking,,,,2024-01-01 05:30:00,0 days 00:15:00
2024-01-01 05:45:00,1.9,5.1,332,0.0,804,Ideal Tracking,,,,2024-01-01 05:45:00,0 days 00:15:00
2024-01-01 06:00:00,2.0,5.2,332,0.0,804,Ideal Tracking,,,,2024-01-01 06:00:00,0 days 00:15:00
2024-01-01 06:15:00,2.0,5.3,334,0.0,804,Ideal Tracking,,,,2024-01-01 06:15:00,0 days 00:15:00
2024-01-01 06:30:00,2.0,5.4,335,0.0,804,Ideal Tracking,,,,2024-01-01 06:30:00,0 days 00:15:00
2024-01-01 06:45:00,2.0,5.5,336,0.0,804,Ideal Tracking,,,,2024-01-01 06:45:00,0 days 00:15:00
2024-01-01 07:00:00,2.0,5.6,338,0.0,804,Ideal Tracking,,,,2024-01-01 07:00:00,0 days 00:15:00
2024-01-01 07:15:00,2.0,5.5,338,0.0,804,Ideal Tracking,,,,2024-01-01 07:15:00,0 days 00:15:00
2024-01-01 07:30:00,2.0,5.4,338,0.0,804,Ideal Tracking,,,,2024-01-01 07:30:00,0 days 00:15:00
2024-01-01 07:45:00,2.0,5.3,338,0.0,804,Ideal Tracking,,,,2024-01-01 07:45:00,0 days 00:15:00
2024-01-01 08:00:00,2.0,5.2,338,0.0,804,Ideal Tracking,,,,2024-01-01 08:00:00,0 days 00:15:00
2024-01-01 08:15:00,2.0,5.2,338,0.0,804,Ideal Tracking,,,,2024-01-01 08:15:00,0 days 00:15:00
2024-01-01 08:30:00,2.0,5.2,338,0.0,804,Ideal Tracking,,,,2024-01-01 08:30:00,0 days 00:15:00
2024-01-01 08:45:00,2.0,5.2,338,0.0,804,Ideal Tracking,,,,2024-01-01 08:45:00,0 days 00:15:00
2024-01-01 09:00:00,2.0,5.2,338,0.0,804,Ideal Tracking,,,,2024-01-01 09:00:00,0 days 00:15:00
2024-01-01 09:15:00,2.1,5.1,340,0.0,804,Ideal Tracking,,,,2024-01-01 09:15:00,0 days 00:15:00
2024-01-01 09:30:00,2.2,5.0,342,0.0,804,Ideal Tracking,,,,2024-01-01 09:30:00,0 days 00:15:00
2024-01-01 09:45:00,2.3,4.9,344,0.0,804,Ideal Tracking,,,,2024-01-01 09:45:00,0 days 00:15:00
2024-01-01 10:00:00,2.4,4.8,346,0.0,804,Ideal Tracking,,,,2024-01-01 10:00:00,0 days 00:15:00
2024-01-01 10:15:00,2.4,4.8,346,0.0,804,Ideal Tracking,,,,2024-01-01 10:15:00,0 days 00:15:00
2024-01-01 10:30:00,2.4,4.8,345,0.0,804,Ideal Tracking,,,,2024-01-01 10:30:00,0 days 00:15:00
2024-01-01 10:45:00,2.4,4.8,344,0.0,804,Ideal Tracking,,,,2024-01-01 10:45:00,0 days 00:15:00
2024-01-01 11:00:00,2.4,4.8,344,0.0,804,Ideal Tracking,,,,2024-01-01 11:00:00,0 days 00:15:00
2024-01-01 11:15:00,2.3,4.9,342,0.0,804,Ideal Tracking,,,,2024-01-01 11:15:00,0 days 00:15:00
2024-01-01 11:30:00,2.2,5.0,340,0.0,804,Ideal Tracking,,,,2024-01-01 11:30:00,0 days 00:15:00
2024-01-01 11:45:00,2.1,5.1,338,0.0,804,Ideal Tracking,,,,2024-01-01 11:45:00,0 days 00:15:00
2024-01-01 12:00:00,2.0,5.2,336,0.0,804,Ideal Tracking,,,,2024-01-01 12:00:00,0 days 00:15:00
2024-01-01 12:15:00,2.1,5.3,336,0.0,804,Ideal Tracking,-0.21770650814467274,-0.21770650814467274,-0.21770650814467274,2024-01-01 12:15:00,0 days 00:15:00
2024-01-01 12:30:00,2.2,5.4,335,0.0,804,Ideal Tracking,-2.6411830393711284,-2.6411830393711284,-2.6411830393711284,2024-01-01 12:30:00,0 days 00:15:00
2024-01-01 12:45:00,2.3,5.5,334,0.0,804,Ideal Tracking,-5.358109706399944,-5.358109706399944,-5.358109706399944,2024-01-01 12:45:00,0 days 00:15:00
2024-01-01 13:00:00,2.4,5.6,334,0.0,804,Ideal Tracking,-8.33940423221813,-8.33940423221813,-8.33940423221813,2024-01-01 13:00:00,0 days 00:15:00
2024-01-01 13:15:00,2.5,5.8,334,0.0,804,Ideal Tracking,-11.653058029487468,-11.653058029487468,-11.653058029487468,2024-01-01 13:15:00,0 days 00:15:00
2024-01-01 13:30:00,2.6,6.0,335,0.0,804,Ideal Tracking,-15.442040261928177,-15.442040261928177,-15.442040261928177,2024-01-01 13:30:00,0 days 00:15:00
2024-01-01 13:45:00,2.7,6.2,336,0.0,804,Ideal Tracking,-19.96379900244945,-19.96379900244945,-19.96379900244945,2024-01-01 13:45:00,0 days 00:15:00
2024-01-01 14:00:00,2.8,6.4,336,0.0,804,Ideal Tracking,-25.734772277561483,-25.734772277561483,-25.734772277561483,2024-01-01 14:00:00,0 days 00:15:00
2024-01-01 14:15:00,2.8,6.6,338,0.0,804,Ideal Tracking,-34.1128347338836,-34.1128347338836,-34.1128347338836,2024-01-01 14:15:00,0 days 00:15:00
2024-01-01 14:30:00,2.8,6.8,340,0.0,804,Ideal Tracking,-57.13279560573425,-57.13279560573425,-57.13279560573425,2024-01-01 14:30:00,0 days 00:15:00
2024-01-01 14:45:00,2.8,7.0,342,0.0,804,Ideal Tracking,-55.218093243271376,-55.218093243271376,-55.218093243271376,2024-01-01 14:45:00,0 days 00:15:00
2024-01-01 15:00:00,2.8,7.2,344,0.0,804,Ideal Tracking,-49.882379830559564,-49.882379830559564,-49.882379830559564,2024-01-01 15:00:00,0 days 00:15:00
2024-01-01 15:15:00,2.8,7.3,343,0.0,804,Ideal Tracking,-43.961233503031266,-43.961233503031266,-43.961233503031266,2024-01-01 15:15:00,0 days 00:15:00
2024-01-01 15:30:00,2.8,7.4,342,0.0,804,Ideal Tracking,-37.38978772215771,-37.38978772215771,-37.38978772215771,2024-01-01 15:30:00,0 days 00:15:00
2024-01-01 15:45:00,2.8,7.5,341,0.0,804,Ideal Tracking,-30.130065143394525,-30.130065143394525,-30.130065143394525,2024-01-01 15:45:00,0 days 00:15:00
2024-01-01 16:00:00,2.8,7.6,340,0.0,804,Ideal Tracking,-22.195194909676772,-22.195194909676772,-22.195194909676772,2024-01-01 16:00:00,0 days 00:15:00
2024-01-01 16:15:00,2.7,7.6,337,0.0,804,Ideal Tracking,-13.674767586915907,-13.674767586915907,-13.674767586915907,2024-01-01 16:15:00,0 days 00:15:00
2024-01-01 16:30:00,2.6,7.6,334,0.0,804,Ideal Tracking,-4.748438427302882,-4.748438427302882,-4.748438427302882,2024-01-01 16:30:00,0 days 00:15:00
2024-01-01 16:45:00,2.5,7.6,331,0.0,804,Ideal Tracking,4.327641746357209,4.327641746357209,4.327641746357209,2024-01-01 16:45:00,0 days 00:15:00
2024-01-01 17:00:00,2.4,7.6,328,0.0,804,Ideal Tracking,13.266044101966699,13.266044101966699,13.266044101966699,2024-01-01 17:00:00,0 days 00:15:00
2024-01-01 17:15:00,2.5,7.6,326,0.0,804,Ideal Tracking,21.808152117913593,21.808152117913593,21.808152117913593,2024-01-01 17:15:00,0 days 00:15:00
2024-01-01 17:30:00,2.6,7.6,325,0.0,804,Ideal Tracking,29.77051609225813,29.77051609225813,29.77051609225813,2024-01-01 17:30:00,0 days 00:15:00
2024-01-01 17:45:00,2.7,7.6,324,0.0,804,Ideal Tracking,37.0598188139489,37.0598188139489,37.0598188139489,2024-01-01 17:45:00,0 days 00:15:00
2024-01-01 18:00:00,2.8,7.6,322,0.0,804,Ideal Tracking,43.66014340816472,43.66014340816472,43.66014340816472,2024-01-01 18:00:00,0 days 00:15:00
2024-01-01 18:15:00,2.8,7.5,322,0.0,804,Ideal Tracking,49.60781196264384,49.60781196264384,49.60781196264384,2024-01-01 18:15:00,0 days 00:15:00
2024-01-01 18:30:00,2.8,7.4,321,0.0,803,Ideal Tracking,54.966951723306046,54.966951723306046,54.966951723306046,2024-01-01 18:30:00,0 days 00:15:00
2024-01-01 18:45:00,2.8,7.3,320,0.0,803,Ideal Tracking,59.811688263090815,59.811688263090815,59.811688263090815,2024-01-01 18:45:00,0 days 00:15:00
2024-01-01 19:00:00,2.8,7.2,320,0.0,803,Ideal Tracking,34.67146768488202,34.67146768488202,34.67146768488202,2024-01-01 19:00:00,0 days 00:15:00
2024-01-01 19:15:00,2.8,6.9,320,0.0,803,Ideal Tracking,26.084696187199924,26.084696187199924,26.084696187199924,2024-01-01 19:15:00,0 days 00:15:00
2024-01-01 19:30:00,2.8,6.6,319,0.0,803,Ideal Tracking,20.229045187828284,20.229045187828284,20.229045187828284,2024-01-01 19:30:00,0 days 00:15:00
2024-01-01 19:45:00,2.8,6.3,318,0.0,803,Ideal Tracking,15.661234086477258,15.661234086477258,15.661234086477258,2024-01-01 19:45:00,0 days 00:15:00
2024-01-01 20:00:00,2.8,6.0,318,0.0,803,Ideal Tracking,11.84378446262528,11.84378446262528,11.84378446262528,2024-01-01 20:00:00,0 days 00:15:00
2024-01-01 20:15:00,2.6,5.3,316,0.0,803,Ideal Tracking,8.51113498728796,8.51113498728796,8.51113498728796,2024-01-01 20:15:00,0 days 00:15:00
2024-01-01 20:30:00,2.4,4.6,315,0.0,803,Ideal Tracking,5.516029293703298,5.516029293703298,5.516029293703298,2024-01-01 20:30:00,0 days 00:15:00
2024-01-01 20:45:00,2.2,3.9,314,0.0,803,Ideal Tracking,2.786474744835985,2.786474744835985,2.786474744835985,2024-01-01 20:45:00,0 days 00:15:00
2024-01-01 21:00:00,2.0,3.2,312,0.0,803,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-01 21:00:00,0 days 00:15:00
2024-01-01 21:15:00,2.0,3.1,310,0.0,803,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-01 21:15:00,0 days 00:15:00
2024-01-01 21:30:00,2.0,3.0,309,0.0,802,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-01 21:30:00,0 days 00:15:00
2024-01-01 21:45:00,2.0,2.9,308,0.0,802,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-01 21:45:00,0 days 00:15:00
2024-01-01 22:00:00,2.0,2.8,306,0.0,802,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-01 22:00:00,0 days 00:15:00
2024-01-01 22:15:00,2.0,2.8,304,0.0,802,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-01 22:15:00,0 days 00:15:00
2024-01-01 22:30:00,2.0,2.8,301,0.0,802,Ideal Tracking,0.3454030412906093,0.3454030412906093,0.3454030412906093,2024-01-01 22:30:00,0 days 00:15:00
