Timestamp (UTC),trigger,stow_angle,stow_setpoint,tracker_theta,aoi,surface_azimuth,surface_tilt,timestamp_local,Year,Month,Day,Hour,Minute,Wind Speed,GHI,DNI,DHI,Temperature,Surface Albedo,Precipitable Water,Timestamp (Local),Unix Timestamp,Location ID,Latitude,Longitude,Apparent Temperature (C),Clouds,DHI (W/m^2),DNI (W/m^2),Day / Night,Dew Point (C),GHI (W/m^2),Precipitation Rate (mm/hr),Pressure (mb),Relative Humidity (%),Revision Status,SLP (mb),Snowfall Rate (mm/hr),Solar Azimuth Angle (Deg),Solar Elevation Angle (Deg),Solar Radiation (W/m^2),Temperature (C),UV Index,Visibility (KM),Weather Code,Wind Dir (Deg),Wind Gust Speed (m/s),Wind Speed (m/s),td,time_delta
2024-04-02 06:00:00,Ideal Tracking,3.7648211783876917,3.7648211783876917,3.7648211783876917,,,,4/2/24 0:00,2024,4,2,0,0,5.7,0,0,0,2.0,0.15,2.0,4/2/24 1:00,1712037600,1,43.156,-90.717,0.028151961,100,0,0,n,1.025919,0,0.0,984,85,2.1,1008,0,357.9,-41.7,0,3.3,0.0,16,804,40,10.0,3.6,2024-04-02 06:00:00,0 days 00:15:00
2024-04-02 06:15:00,Ideal Tracking,3.7648211783876917,3.7648211783876917,3.7648211783876917,,,,4/2/24 0:15,2024,4,2,0,15,5.7,0,0,0,2.0,0.15,2.0,4/2/24 1:15,1712038500,1,43.156,-90.717,0.29614687,100,0,0,n,1.1881418,0,0.0,984,86,2.1,1008,0,272.9,-41.3,0,3.3,0.0,16,804,40,9.9,3.22,2024-04-02 06:15:00,0 days 00:15:00
2024-04-02 06:30:00,Ideal Tracking,3.7648211783876917,3.7648211783876917,3.7648211783876917,,,,4/2/24 0:30,2024,4,2,0,30,5.7,0,0,0,2.1,0.15,2.0,4/2/24 1:30,1712039400,1,43.156,-90.717,0.583962,100,0,0,n,1.3487064,0,0.0,984,87,2.1,1008,0,187.8,-41.0,0,3.3,0.0,16,804,40,9.8,2.85,2024-04-02 06:30:00,0 days 00:15:00
2024-04-02 06:45:00,Ideal Tracking,3.7648211783876917,3.7648211783876917,3.7648211783876917,,,,4/2/24 0:45,2024,4,2,0,45,5.6000000000000005,0,0,0,2.1,0.15,1.9,4/2/24 1:45,1712040300,1,43.156,-90.717,0.9143041,100,0,0,n,1.5076485,0,0.0,983,88,2.1,1008,0,102.7,-40.6,0,3.3,0.0,16,804,40,9.7,2.47,2024-04-02 06:45:00,0 days 00:15:00
2024-04-02 07:00:00,Ideal Tracking,3.7648211783876917,3.7648211783876917,3.7648211783876917,,,,4/2/24 1:00,2024,4,2,1,0,5.6000000000000005,0,0,0,2.1,0.15,1.9,4/2/24 2:00,1712041200,1,43.156,-90.717,1.2798833,100,0,0,n,1.665003,0,0.0,983,89,2.1,1008,0,17.7,-40.2,0,3.3,0.0,16,804,45,8.3,2.1,2024-04-02 07:00:00,0 days 00:15:00
2024-04-02 07:15:00,Ideal Tracking,3.7648211783876917,3.7648211783876917,3.7648211783876917,,,,4/2/24 1:15,2024,4,2,1,15,5.6000000000000005,0,0,0,2.2,0.15,1.9,4/2/24 2:15,1712042100,1,43.156,-90.717,1.027509,100,0,0,n,1.665003,0,0.0,983,89,2.1,1008,0,22.1,-39.0,0,3.3,0.0,14,804,45,9.6,2.35,2024-04-02 07:15:00,0 days 00:15:00
2024-04-02 07:30:00,Ideal Tracking,3.7648211783876917,3.7648211783876917,3.7648211783876917,,,,4/2/24 1:30,2024,4,2,1,30,5.5,0,0,0,2.2,0.15,1.9,4/2/24 2:30,1712043000,1,43.156,-90.717,0.79676443,100,0,0,n,1.665003,0,0.0,983,89,2.1,1007,0,26.6,-37.7,0,3.3,0.0,11,804,45,9.6,2.6,2024-04-02 07:30:00,0 days 00:15:00
2024-04-02 07:45:00,Ideal Tracking,3.7648211783876917,3.7648211783876917,3.7648211783876917,,,,4/2/24 1:45,2024,4,2,1,45,5.5,0,0,0,2.3000000000000003,0.15,1.9,4/2/24 2:45,1712043900,1,43.156,-90.717,0.583962,100,0,0,n,1.665003,0,0.0,982,89,2.1,1007,0,31.1,-36.5,0,3.3,0.0,9,804,45,9.6,2.85,2024-04-02 07:45:00,0 days 00:15:00
2024-04-02 08:00:00,Ideal Tracking,3.7648211783876917,3.7648211783876917,3.7648211783876917,,,,4/2/24 2:00,2024,4,2,2,0,5.5,0,0,0,2.4000000000000004,0.15,1.9,4/2/24 3:00,1712044800,1,43.156,-90.717,0.3863026,100,0,0,n,1.665003,0,0.0,982,89,2.1,1007,0,35.5,-35.3,0,3.3,0.0,6,804,45,8.5,3.1,2024-04-02 08:00:00,0 days 00:15:00
2024-04-02 08:15:00,Ideal Tracking,3.7648211783876917,3.7648211783876917,3.7648211783876917,,,,4/2/24 2:15,2024,4,2,2,15,5.5,0,0,0,2.4000000000000004,0.15,1.9,4/2/24 3:15,1712045700,1,43.156,-90.717,0.48734188,100,0,0,n,1.8208032,0,0.0,982,90,2.1,1007,0,39.3,-33.4,0,3.3,0.0,8,804,50,9.0,2.97,2024-04-02 08:15:00,0 days 00:15:00
2024-04-02 08:30:00,Ideal Tracking,3.7648211783876917,3.7648211783876917,3.7648211783876917,,,,4/2/24 2:30,2024,4,2,2,30,5.5,0,0,0,2.4000000000000004,0.15,1.9,4/2/24 3:30,1712046600,1,43.156,-90.717,0.583962,100,0,0,n,1.8208032,0,0.0,982,90,2.1,1007,0,43.1,-31.5,0,3.3,0.0,9,804,50,9.6,2.85,2024-04-02 08:30:00,0 days 00:15:00
2024-04-02 08:45:00,Ideal Tracking,3.7648211783876917,3.7648211783876917,3.7648211783876917,,,,4/2/24 2:45,2024,4,2,2,45,5.5,0,0,0,2.4000000000000004,0.15,1.8,4/2/24 3:45,1712047500,1,43.156,-90.717,0.69256955,100,0,0,n,1.9750818,0,0.0,982,91,2.1,1007,0,46.9,-29.6,0,3.3,0.0,10,804,50,9.6,2.72,2024-04-02 08:45:00,0 days 00:15:00
2024-04-02 09:00:00,Ideal Tracking,3.7648211783876917,3.7648211783876917,3.7648211783876917,,,,4/2/24 3:00,2024,4,2,3,0,5.5,0,0,0,2.4000000000000004,0.15,1.8,4/2/24 4:00,1712048400,1,43.156,-90.717,0.79676443,100,0,0,n,2.1278703,0,0.0,982,92,2.1,1006,0,50.7,-27.8,0,3.3,0.0,11,804,50,11.6,2.6,2024-04-02 09:00:00,0 days 00:15:00
2024-04-02 09:15:00,Ideal Tracking,3.7648211783876917,3.7648211783876917,3.7648211783876917,,,,4/2/24 3:15,2024,4,2,3,15,5.5,0,0,0,2.4000000000000004,0.15,1.8,4/2/24 4:15,1712049300,1,43.156,-90.717,0.8714004,100,0,0,n,1.968964,0,0.0,982,90,2.1,1006,0,53.9,-25.5,0,3.45,0.0,12,804,50,9.6,2.72,2024-04-02 09:15:00,0 days 00:15:00
2024-04-02 09:30:00,Ideal Tracking,3.7648211783876917,3.7648211783876917,3.7648211783876917,,,,4/2/24 3:30,2024,4,2,3,30,5.4,0,0,0,2.3000000000000003,0.15,1.8,4/2/24 4:30,1712050200,1,43.156,-90.717,0.9309424,100,0,0,n,1.7933413,0,0.0,982,88,2.1,1006,0,57.1,-23.2,0,3.59,0.0,14,804,45,9.6,2.85,2024-04-02 09:30:00,0 days 00:15:00
2024-04-02 09:45:00,Ideal Tracking,3.7648211783876917,3.7648211783876917,3.7648211783876917,,,,4/2/24 3:45,2024,4,2,3,45,5.4,0,0,0,2.3000000000000003,0.15,1.8,4/2/24 4:45,1712051100,1,43.156,-90.717,1.027473,100,0,0,n,1.7914302,0,0.0,981,87,2.1,1006,0,60.3,-20.9,0,3.75,0.0,15,804,40,9.6,2.97,2024-04-02 09:45:00,0 days 00:15:00
2024-04-02 10:00:00,Ideal Tracking,3.7648211783876917,3.7648211783876917,3.7648211783876917,,,,4/2/24 4:00,2024,4,2,4,0,5.300000000000001,0,0,0,2.2,0.15,1.8,4/2/24 5:00,1712052000,1,43.156,-90.717,1.108866,100,0,0,n,1.6146168,0,0.0,981,85,2.1,1006,0,63.6,-18.6,0,3.9,0.0,16,804,40,11.8,3.1,2024-04-02 10:00:00,0 days 00:15:00
2024-04-02 10:15:00,Ideal Tracking,3.7648211783876917,3.7648211783876917,3.7648211783876917,,,,4/2/24 4:15,2024,4,2,4,15,5.300000000000001,0,0,0,2.2,0.15,1.8,4/2/24 5:15,1712052900,1,43.156,-90.717,0.8396678,100,0,0,n,1.6302695,0,0.0,981,86,2.1,1006,0,66.4,-16.0,0,3.75,0.0,16,804,40,9.5,3.22,2024-04-02 10:15:00,0 days 00:15:00
2024-04-02 10:30:00,Ideal Tracking,-1.6992233007917434,-1.6992233007917434,-1.6992233007917434,87.63824061685877,90.0,1.699223300791713,4/2/24 4:30,2024,4,2,4,30,5.300000000000001,0,0,0,2.1,0.15,1.8,4/2/24 5:30,1712053800,1,43.156,-90.717,0.552958,100,0,0,n,1.6340188,0,0.0,981,87,2.1,1006,0,69.2,-13.5,0,3.59,0.0,16,804,40,9.6,3.35,2024-04-02 10:30:00,0 days 00:15:00
2024-04-02 10:45:00,Ideal Tracking,-8.129387375130563,-8.129387375130563,-8.129387375130563,78.67864311005528,90.0,8.129387375130563,4/2/24 4:45,2024,4,2,4,45,5.4,0,0,0,2.0,0.15,1.8,4/2/24 5:45,1712054700,1,43.156,-90.717,0.29927218,100,0,0,n,1.6554214,0,0.0,981,88,2.1,1006,0,72.0,-10.9,0,3.45,0.0,16,804,40,9.6,3.47,2024-04-02 10:45:00,0 days 00:15:00
2024-04-02 11:00:00,Ideal Tracking,-15.200455192737806,-15.200455192737806,-15.200455192737806,68.90516774968708,90.0,15.200455192737799,4/2/24 5:00,2024,4,2,5,0,5.4,0,0,0,1.9,0.15,1.8,4/2/24 6:00,1712055600,1,43.156,-90.717,0.028151961,100,0,0,n,1.665003,0,0.0,981,89,2.1,1006,0,74.8,-8.3,0,3.3,0.0,16,804,40,10.9,3.6,2024-04-02 11:00:00,0 days 00:15:00
2024-04-02 11:15:00,Ideal Tracking,-23.06912041276192,-23.06912041276192,-23.06912041276192,58.29763302829577,90.0,23.06912041276192,4/2/24 5:15,2024,4,2,5,15,5.4,0,0,0,1.9,0.15,1.8,4/2/24 6:15,1712056500,1,43.156,-90.717,-0.13023768,100,5,39,d,1.5367634,5,0.0,981,89,2.1,1006,0,77.4,-5.6,6,3.17,0.0,13,804,40,9.7,3.6,2024-04-02 11:15:00,0 days 00:15:00
2024-04-02 11:30:00,Ideal Tracking,-32.379035593237916,-32.379035593237916,-32.379035593237916,46.30487342008435,90.0,32.379035593237916,4/2/24 5:30,2024,4,2,5,30,5.4,0,0,0,1.8,0.15,1.8,4/2/24 6:30,1712057400,1,43.156,-90.717,-0.27644378,100,11,77,d,1.2613574,10,0.0,981,88,2.1,1006,0,80.0,-3.0,12,3.05,0.0,10,804,40,9.8,3.6,2024-04-02 11:30:00,0 days 00:15:00
2024-04-02 11:45:00,Ideal Tracking,-44.97854446807298,-44.97854446807298,-44.97854446807298,31.28311956588535,90.0,44.97854446807298,4/2/24 5:45,2024,4,2,5,45,5.4,0,0,0,1.8,0.15,1.8,4/2/24 6:45,1712058300,1,43.156,-90.717,-0.43483344,100,16,116,d,1.1332848,15,0.0,981,88,2.1,1005,0,82.6,-0.3,18,2.92,0.0,8,804,40,9.9,3.6,2024-04-02 11:45:00,0 days 00:15:00
2024-04-02 12:00:00,Ideal Tracking,-60.0,-60.0,-60.0,15.235253209992505,90.0,59.99999999999999,4/2/24 6:00,2024,4,2,6,0,5.5,19,38,17,1.7000000000000002,0.15,1.8,4/2/24 7:00,1712059200,1,43.156,-90.717,-0.58103955,100,22,154,d,1.0150627,19,0.0,980,88,2.1,1005,0,85.2,2.4,24,2.8,0.5,5,804,40,11.4,3.6,2024-04-02 12:00:00,0 days 00:15:00
2024-04-02 12:15:00,Ideal Tracking,-60.0,-60.0,-60.0,14.489448719722033,90.0,59.99999999999999,4/2/24 6:15,2024,4,2,6,15,5.5,47,104,37,1.8,0.15,1.9,4/2/24 7:15,1712060100,1,43.156,-90.717,-0.2158334,100,32,256,d,1.0150627,61,0.0,980,88,2.1,1005,0,87.7,5.2,38,2.8,0.5,5,804,50,8.0,3.1,2024-04-02 12:15:00,0 days 00:15:00
2024-04-02 12:30:00,Ideal Tracking,-60.0,-60.0,-60.0,14.639735963213834,90.0,59.99999999999999,4/2/24 6:30,2024,4,2,6,30,5.4,3,0,3,1.8,0.15,1.9,4/2/24 7:30,1712061000,1,43.156,-90.717,-0.08034013,100,42,358,d,1.0150627,102,0.0,980,88,2.1,1005,0,90.3,7.9,52,2.8,0.6,5,804,45,9.8,2.93,2024-04-02 12:30:00,0 days 00:15:00
2024-04-02 12:45:00,Ideal Tracking,-60.0,-60.0,-60.0,15.661399171115772,90.0,59.99999999999999,4/2/24 6:45,2024,4,2,6,45,5.4,6,0,6,1.8,0.15,1.9,4/2/24 7:45,1712061900,1,43.156,-90.717,0.061925802,100,52,459,d,1.0150627,143,0.0,980,88,2.1,1005,0,92.9,10.6,66,2.8,0.6,6,804,45,9.7,2.76,2024-04-02 12:45:00,0 days 00:15:00
2024-04-02 13:00:00,Ideal Tracking,-60.0,-60.0,-60.0,17.402044444563664,90.0,59.99999999999999,4/2/24 7:00,2024,4,2,7,0,5.4,7,0,7,1.8,0.15,1.9,4/2/24 8:00,1712062800,1,43.156,-90.717,0.20271447,100,62,561,d,1.0150627,184,0.0,980,88,2.1,1005,0,95.4,13.4,80,2.8,0.6,6,804,40,9.6,2.6,2024-04-02 13:00:00,0 days 00:15:00
2024-04-02 13:15:00,Ideal Tracking,-57.75573627484755,-57.75573627484755,-57.75573627484755,19.548361619773566,90.0,57.75573627484755,4/2/24 7:15,2024,4,2,7,15,5.4,6,0,6,1.8,0.15,1.9,4/2/24 8:15,1712063700,1,43.156,-90.717,-0.2158334,100,68,602,d,1.6327251,232,1.0,980,92,2.1,1005,0,98.2,16.1,91,2.8,0.6,3,500,35,9.6,3.1,2024-04-02 13:15:00,0 days 00:15:00
2024-04-02 13:30:00,Snow,-54.455220830188814,-54.455220830188814,-54.455220830188814,21.643567516538084,90.0,54.455220830188814,4/2/24 7:30,2024,4,2,7,30,5.4,5,0,5,1.8,0.15,1.9,4/2/24 8:30,1712064600,1,43.156,-90.717,0.10536845,100,73,644,d,1.731755,280,6.0,980,92,2.1,1005,6,100.9,18.7,57,2.9,0.7,4,612,25,9.6,2.85,2024-04-02 13:30:00,0 days 00:15:00
2024-04-02 13:45:00,Snow,-24.455220830188814,60.0,-51.04571860310711,23.65263991286655,90.0,51.04571860310711,4/2/24 7:45,2024,4,2,7,45,5.4,28,0,28,1.8,0.15,1.9,4/2/24 8:45,1712065500,1,43.156,-90.717,0.44033453,100,79,685,d,1.9817377,327,3.0,979,93,2.1,1004,3,103.7,21.4,88,3.0,0.7,4,611,20,9.6,2.6,2024-04-02 13:45:00,0 days 00:15:00
2024-04-02 14:00:00,Snow,5.544779169811186,60.0,-47.51911252880097,25.56542821151335,90.0,47.519112528800974,4/2/24 8:00,2024,4,2,8,0,5.4,13,0,13,1.8,0.15,1.9,4/2/24 9:00,1712066400,1,43.156,-90.717,-0.58103955,100,85,726,d,1.6327251,375,2.0,979,92,2.1,1004,2,106.4,24.1,106,2.8,0.8,4,611,30,9.6,3.6,2024-04-02 14:00:00,0 days 00:15:00
2024-04-02 14:15:00,Snow,35.544779169811186,60.0,-43.86850487694106,27.371199938859863,90.0,43.86850487694105,4/2/24 8:15,2024,4,2,8,15,5.4,13,0,13,1.9,0.15,1.9,4/2/24 9:15,1712067300,1,43.156,-90.717,-0.2158334,100,88,749,d,1.0150627,419,2.0,979,88,2.1,1004,2,109.6,26.6,112,2.8,0.9,5,601,20,9.5,3.1,2024-04-02 14:15:00,0 days 00:15:00
2024-04-02 14:30:00,Snow,60.0,60.0,-40.08866439979194,29.058708106575875,90.0,40.08866439979194,4/2/24 8:30,2024,4,2,8,30,5.5,18,0,18,1.9,0.15,1.9,4/2/24 9:30,1712068200,1,43.156,-90.717,-0.2158334,100,92,771,d,1.0150627,463,1.0,979,88,2.1,1004,1,112.8,29.2,138,2.8,1.0,7,600,20,9.4,3.1,2024-04-02 14:30:00,0 days 00:15:00
2024-04-02 14:45:00,Snow,60.0,60.0,-36.176535803801904,30.616307563776356,90.0,36.176535803801904,4/2/24 8:45,2024,4,2,8,45,5.5,16,0,16,2.0,0.15,1.9,4/2/24 9:45,1712069100,1,43.156,-90.717,-0.2158334,100,96,794,d,1.0150627,507,2.0,979,88,2.1,1004,2,115.9,31.7,128,2.8,1.1,9,601,15,9.3,3.1,2024-04-02 14:45:00,0 days 00:15:00
2024-04-02 15:00:00,Snow,60.0,60.0,-32.131785932560966,32.032129899812396,90.0,32.13178593256096,4/2/24 9:00,2024,4,2,9,0,5.6000000000000005,20,0,20,2.1,0.15,1.9,4/2/24 10:00,1712070000,1,43.156,-90.717,-0.2158334,100,99,816,d,1.0150627,552,3.0,979,88,2.1,1003,3,119.1,34.2,125,2.8,1.2,11,601,15,9.2,3.1,2024-04-02 15:00:00,0 days 00:15:00
2024-04-02 15:15:00,Snow,60.0,60.0,-27.95734327194306,33.294323260027596,90.0,27.957343271943056,4/2/24 9:15,2024,4,2,9,15,5.7,22,0,22,2.1,0.15,1.9,4/2/24 10:15,1712070900,1,43.156,-90.717,-0.58103955,100,102,829,d,0.8567753,587,5.0,978,87,2.1,1003,5,123.0,36.4,110,2.8,1.3,11,602,15,9.4,3.6,2024-04-02 15:15:00,0 days 00:15:00
2024-04-02 15:30:00,Snow,60.0,60.0,-23.65987403728393,34.39135595493579,90.00000120741826,23.659874037283938,4/2/24 9:30,2024,4,2,9,30,5.800000000000001,30,0,30,2.2,0.15,1.8,4/2/24 10:30,1712071800,1,43.156,-90.717,-0.89969355,100,104,842,d,0.6968718,623,4.0,978,86,2.1,1003,4,126.8,38.6,125,2.8,1.4,11,602,15,9.6,4.09,2024-04-02 15:30:00,0 days 00:15:00
2024-04-02 15:45:00,Snow,60.0,60.0,-19.250118534947237,35.31238037964803,90.00000147877934,19.250118534947244,4/2/24 9:45,2024,4,2,9,45,5.9,32,0,32,2.2,0.15,1.8,4/2/24 10:45,1712072700,1,43.156,-90.717,-1.1933446,100,106,855,d,0.6968718,659,3.0,978,86,2.1,1002,3,130.7,40.8,140,2.8,1.5,11,601,10,9.8,4.59,2024-04-02 15:45:00,0 days 00:15:00
2024-04-02 16:00:00,Snow,60.0,60.0,-14.743005014269958,36.0476337449724,90.0,14.743005014269945,4/2/24 10:00,2024,4,2,10,0,5.9,34,0,34,2.2,0.15,1.8,4/2/24 11:00,1712073600,1,43.156,-90.717,-1.461249,100,109,869,d,0.5353164,694,1.0,977,85,2.1,1002,1,134.6,43.0,178,2.8,1.6,11,600,10,8.9,5.09,2024-04-02 16:00:00,0 days 00:15:00
2024-04-02 16:15:00,Relaxing,60.0,60.0,-10.157472463724789,36.5888539167827,90.0,10.15747246372477,4/2/24 10:15,2024,4,2,10,15,6.0,35,0,35,2.3000000000000003,0.15,1.8,4/2/24 11:15,1712074500,1,43.156,-90.717,-1.3302041,100,110,876,d,0.37207213,718,0.0,977,84,2.1,1002,0,139.5,44.6,182,2.8,1.7,11,804,10,8.9,4.84,2024-04-02 16:15:00,0 days 00:15:00
2024-04-02 16:30:00,Relaxing,60.0,60.0,-5.515956444349734,36.92967450189448,90.00000225887274,5.5159564443497375,4/2/24 10:30,2024,4,2,10,30,6.1000000000000005,32,0,32,2.3000000000000003,0.15,1.8,4/2/24 11:30,1712075400,1,43.156,-90.717,-1.1933446,100,112,883,d,0.20710076,741,0.0,977,83,2.1,1002,0,144.4,46.2,186,2.8,1.8,10,804,15,8.8,4.59,2024-04-02 16:30:00,0 days 00:15:00
2024-04-02 16:45:00,Ideal Tracking,30.0,-0.8435373767934579,-0.8435373767934579,37.065952807223546,90.00001446384282,0.8435373767934847,4/2/24 10:45,2024,4,2,10,45,6.2,42,0,42,2.3000000000000003,0.15,1.8,4/2/24 11:45,1712076300,1,43.156,-90.717,-1.0500734,100,113,890,d,0.040362746,765,0.0,977,82,2.1,1002,0,149.3,47.8,190,2.8,1.9,10,804,20,8.8,4.34,2024-04-02 16:45:00,0 days 00:15:00
2024-04-02 17:00:00,Snow,3.8331878468558958,3.8331878468558958,3.8331878468558958,36.99599547314131,270.0,3.833187846855864,4/2/24 11:00,2024,4,2,11,0,6.300000000000001,34,0,34,2.3000000000000003,0.15,1.7000000000000002,4/2/24 12:00,1712077200,1,43.156,-90.717,-0.89969355,100,114,897,d,-0.12818292,788,1.0,977,81,2.1,1001,1,154.2,49.4,193,2.8,2.0,10,600,20,8.8,4.09,2024-04-02 17:00:00,0 days 00:15:00
2024-04-02 17:15:00,Snow,33.83318784685589,60.0,8.487403019908703,36.72065329397342,269.99999704244135,8.487403019908713,4/2/24 11:15,2024,4,2,11,15,6.4,67,0,67,2.3000000000000003,0.15,1.7000000000000002,4/2/24 12:15,1712078100,1,43.156,-90.717,-1.4368339,100,115,899,d,-0.05710232,797,1.0,976,83,2.1,1001,1,160.0,50.1,195,2.53,2.1,8,600,135,8.6,4.43,2024-04-02 17:15:00,0 days 00:15:00
2024-04-02 17:30:00,Snow,3.8331878468558926,-60.0,13.093396518820065,36.24327583315044,270.0,13.093396518820057,4/2/24 11:30,2024,4,2,11,30,6.5,54,0,54,2.3000000000000003,0.15,1.7000000000000002,4/2/24 12:30,1712079000,1,43.156,-90.717,-1.9597265,100,115,902,d,-0.15707397,806,2.0,976,84,2.1,1001,2,165.9,50.7,173,2.26,2.1,6,601,245,8.4,4.76,2024-04-02 17:30:00,0 days 00:15:00
2024-04-02 17:45:00,Snow,-26.166812153144107,-60.0,17.627759017623337,35.569520275961395,270.0,17.62775901762333,4/2/24 11:45,2024,4,2,11,45,6.6000000000000005,65,0,65,2.3000000000000003,0.15,1.7000000000000002,4/2/24 12:45,1712079900,1,43.156,-90.717,-2.4631634,100,116,904,d,-0.08919747,816,2.0,976,86,2.1,1001,2,171.7,51.4,174,2.0,2.2,4,601,360,8.2,5.09,2024-04-02 17:45:00,0 days 00:15:00
2024-04-02 18:00:00,Snow,3.8331878468558926,60.0,22.070333376686115,34.707056559245885,269.99999914622634,22.07033337668612,4/2/24 12:00,2024,4,2,12,0,6.7,47,0,47,2.3000000000000003,0.15,1.7000000000000002,4/2/24 13:00,1712080800,1,43.156,-90.717,-2.2126846,100,116,907,d,-0.053432077,825,2.0,976,85,2.1,1001,2,177.5,52.1,175,2.2,2.2,4,601,10,8.2,5.09,2024-04-02 18:00:00,0 days 00:15:00
