Site Time,pos1,pos2,pos3
1/1/2022 0:00,-51.98,-51.84,-51.93
1/1/2022 0:15,-51.98,-51.84,-51.93
1/1/2022 0:30,-51.98,-51.84,-51.93
1/1/2022 0:45,-51.98,-51.84,-51.93
1/1/2022 1:00,-51.98,-51.84,-51.93
1/1/2022 1:15,-51.98,-51.84,-51.93
1/1/2022 1:30,-51.98,-51.84,-51.93
1/1/2022 1:45,-51.98,-51.84,-51.93
1/1/2022 2:00,-51.98,-51.84,-51.93
1/1/2022 2:15,-51.98,-51.84,-51.93
1/1/2022 2:30,-51.98,-51.84,-51.93
1/1/2022 2:45,-51.98,-51.84,-51.93
1/1/2022 3:00,-51.98,-51.84,-51.93
1/1/2022 3:15,-51.98,-51.84,-51.93
1/1/2022 3:30,-51.98,-51.84,-51.93
1/1/2022 3:45,-51.98,-51.84,-51.93
1/1/2022 4:00,-51.98,-51.84,-51.93
1/1/2022 4:15,-51.98,-51.84,-51.93
1/1/2022 4:30,-51.98,-51.84,-51.93
1/1/2022 4:45,-51.98,-51.84,-51.93
1/1/2022 5:00,-51.98,-51.84,-51.93
1/1/2022 5:15,-51.98,-51.84,-51.93
1/1/2022 5:30,-51.98,-51.84,-51.93
1/1/2022 5:45,-51.98,-51.84,-51.93
1/1/2022 6:00,-51.98,-51.84,-51.93
1/1/2022 6:15,-51.98,-51.84,-51.93
1/1/2022 6:30,-51.98,-51.84,-51.93
1/1/2022 6:45,-51.98,-51.84,-51.93
1/1/2022 7:00,-51.98,-51.84,-51.93
1/1/2022 7:15,-0.4,-0.45,-0.43
1/1/2022 7:30,-3.72,-3.94,-3.98
1/1/2022 7:45,-7.14,-7.4,-7.42
1/1/2022 8:00,-10.66,-10.95,-9.28
1/1/2022 8:15,-14.31,-14.65,-14.98
1/1/2022 8:30,-17.88,-18.29,-18.67
1/1/2022 8:45,-25.37,-24.21,-24.68
1/1/2022 9:00,-32.91,-33.2,-33.94
1/1/2022 9:15,-50.09,-50.06,-51.87
1/1/2022 9:30,-51.96,-51.79,-51.87
1/1/2022 9:45,-51.96,-51.79,-51.87
1/1/2022 10:00,-48.39,-45.24,-45.2
1/1/2022 10:15,-41.28,-41.78,-41.75
1/1/2022 10:30,-34.21,-35.17,-34.71
1/1/2022 10:45,-26.92,-27.95,-27.46
1/1/2022 11:00,-20.07,-21.16,-20.63
1/1/2022 11:15,-12.83,-13.97,-13.42
1/1/2022 11:30,-5.32,-2.67,-5.91
1/1/2022 11:45,2.3,5.02,5.6
1/1/2022 12:00,13.69,12.56,13.12
1/1/2022 12:15,20.97,19.87,20.41
1/1/2022 12:30,28.37,26.85,27.36
1/1/2022 12:45,35.73,34.31,34.79
1/1/2022 13:00,39.17,41.17,42.02
1/1/2022 13:15,46.38,44.78,45.59
1/1/2022 13:30,50.04,51.77,51.99
1/1/2022 13:45,38.8,38.91,38.87
1/1/2022 14:00,28.58,27.63,27.58
1/1/2022 14:15,21.39,22.03,21.98
1/1/2022 14:30,17.89,16.76,16.72
1/1/2022 14:45,14.5,13.34,13.08
1/1/2022 15:00,11.22,11.63,11.38
1/1/2022 15:15,7.84,8.21,8
1/1/2022 15:30,6.16,4.9,6.3
1/1/2022 15:45,2.88,3.21,2.87
1/1/2022 16:00,1.14,1.6,1.13
1/1/2022 16:15,-51.97,-51.84,-51.93
1/1/2022 16:30,-51.97,-51.84,-51.93
1/1/2022 16:45,-51.97,-51.84,-51.93
1/1/2022 17:00,-51.97,-51.84,-51.93
1/1/2022 17:15,-51.97,-51.84,-51.93
1/1/2022 17:30,-51.97,-51.84,-51.93
1/1/2022 17:45,-51.97,-51.84,-51.93
1/1/2022 18:00,-51.97,-51.84,-51.93
1/1/2022 18:15,-51.97,-51.84,-51.93
1/1/2022 18:30,-51.97,-51.84,-51.93
1/1/2022 18:45,-51.97,-51.84,-51.93
1/1/2022 19:00,-51.97,-51.84,-51.93
